Name,Survived
"Abbing, Mr. Anthony",0
"Abbott, Mr. Ernest Owen",0
"Abbott, Mr. Eugene Joseph",0
"Abbott, Mr. Rossmore Edward",0
"Abelson, Mr. Samuel",0
"Abrams, Mr. William Thomas",0
"Adams, Mr. John",0
"Adams, Mr. Robert John",0
"Ahier, Mr. Percy Snowden",0
"Ahlin, Mrs. Johanna Persdotter",0
"Akerman, Mr. Albert Edward",0
"Akerman, Mr. Joseph Francis",0
"Aldworth, Mr. Augustus Henry",0
"Alexander, Mr. William",0
"Alhomäki, Mr. Ilmari Rudolf",0
"Ali, Mr. Ahmed",0
"Ali, Mr. William",0
"Allaria, Sig.. Battista Antonio",0
"Allen, Mr. Frederick",0
"Allen, Mr. George",0
"Allen, Mr. Henry",0
"Allen, Mr. Robert Spencer",0
"Allen, Mr. William Henry",0
"Allison, Miss. Helen Loraine",0
"Allison, Mr. Hudson Joshua Creighton",0
"Allison, Mrs. Bessie Waldo",0
"Allsop, Mr. Alfred Samuel",0
"Allsop, Mr. Frank Richard",0
"Allum, Mr. Owen George",0
"Andersen, Mr. Albert Karvin",0
"Anderson, Mr. Walter Yuill",0
"Andersson, Master. Sigvard Harald Elias",0
"Andersson, Miss. Ebba Iris Alfrida",0
"Andersson, Miss. Ellis Anna Maria",0
"Andersson, Miss. Ida Augusta Margareta",0
"Andersson, Miss. Ingeborg Constanzia",0
"Andersson, Miss. Sigrid Elisabeth",0
"Andersson, Mr. Anders Johan",0
"Andersson, Mr. Johan Samuel",0
"Andersson, Mrs. Alfrida Konstantia Brogren",0
"Andreasson, Mr. Paul Edvin",0
"Andrew, Mr. Edgar Samuel",0
"Andrew, Mr. Frank Thomas",0
"Andrews, Mr. Thomas",0
"Angheloff, Mr. Minko",0
"Angle, Mr. William A.",0
"Arnold-franchi, Mr. Josef",0
"Arnold-franchi, Mrs. Josefine",0
"Aronsson, Mr. Ernst Axel Algot",0
"Artagaveytia, Mr. Ramon",0
"Ashby, Mr. John",0
"Ashcroft, Mr. Austin Aloysius",0
"Ashe, Mr. Henry Wellesley",0
"Asim, Mr. Adola",0
"Aspeslagh, Mr. Georges",0
"Asplund, Master. Carl Edgar",0
"Asplund, Master. Clarence Gustaf Hugo",0
"Asplund, Master. Filip Oscar",0
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",0
"Assam, Mr. Ali",0
"Astor, Colonel. John Jacob",0
"Attala, Mr. Sleiman",0
"Attalah, Miss. Malake",0
"Augustsson, Mr. Albert",0
"Ayling, Mr. Edwin George",0
"Baccos, Mr. Raffull",0
"Back, Mr. Charles Frederick",0
"Backström, Mr. Karl Alfred",0
"Badt, Mr. Mohamed",0
"Bagley, Mr. Edward Henry",0
"Bailey, Mr. George Francis",0
"Bailey, Mr. George W.",0
"Bailey, Mr. Percy",0
"Bainbrigge, Mr. Charles Robert",0
"Baines, Mr. Richard",0
"Balkic, Mr. Cerin",0
"Banfi, Sig.. Ugo",0
"Banfield, Mr. Frederick James",0
"Bannon, Mr. John Joseph",0
"Barbara, Miss. Saiide",0
"Barbara, Mrs. Catherine David",0
"Barker, Mr. Albert Vale",0
"Barker, Mr. Ernest Thomas",0
"Barker, Mr. Reginald Lomond",0
"Barlow, Mr. Charles",0
"Barlow, Mr. George",0
"Barnes, Mr. Charles",0
"Barnes, Mr. Frederick Charles",0
"Barnes, Mr. John",0
"Barratt, Mr. Arthur",0
"Barrett, Mr. Frederick William",0
"Barringer, Mr. Arthur William",0
"Barrow, Mr. Charles Henry John Barrow",0
"Barrows, Mr. William",0
"Barry, Miss. Julia",0
"Barton, Mr. David John",0
"Barton, Mr. Sidney John",0
"Basilico, Sig.. Giovanni",0
"Bateman, Fr. Robert James",0
"Baumann, Mr. John D.",0
"Baxter, Mr. Harry Ross",0
"Baxter, Mr. Quigg Edmond",0
"Baxter, Mr. Thomas Ferguson",0
"Bazzi, Sig.. Narciso",0
"Beattie, Mr. Joseph",0
"Beattie, Mr. Thomson",0
"Beauchamp, Mr. Henry James",0
"Beavan, Mr. William Thomas",0
"Bedford, Mr. William Barnett",0
"Beedem, Mr. George Arthur",0
"Beere, Mr. William",0
"Bell, Mr. Joseph",0
"Bendell, Mr. Frank",0
"Bengtsson, Mr. Johan Viktor",0
"Benham, Mr. Fred John",0
"Bennett, Mr. George Alfred",0
"Benville, Mr. Edward",0
"Berglund, Mr. Karl Ivar Sven",0
"Bernardi, Sig.. Battista",0
"Berriman, Mr. William John",0
"Bessant, Mr. Edward",0
"Bessant, Mr. William Edward Lowe",0
"Best, Mr. Edwin Alfred",0
"Betros, Mr. Tannous",0
"Beux, Mr. David",0
"Bevis, Mr. Joseph Henry",0
"Biddlecombe, Mr. Reginald Charles",0
"Bietrix, Mr. George Baptiste",0
"Biggs, Mr. Edward Charles",0
"Billows, Mr. James",0
"Birkeland, Mr. Hans Martin Monsen",0
"Birnbaum, Mr. Jakob",0
"Bishop, Mr. Walter Alexander",0
"Björklund, Mr. Ernst Herbert",0
"Black, Mr. Alexander",0
"Black, Mr. D.",0
"Blackman, Mr. Albert Edward",0
"Blackwell, Mr. Stephen Weart",0
"Blake, Mr. Seaton",0
"Blake, Mr. Thomas Henry",0
"Blaney, Mr. James",0
"Blann, Mr. Eustace Horatius",0
"Blumet, Mr. Jean Baptiste",0
"Bochatay, Mr. Alexis Joseph",0
"Bochet, Mr. Pierre Giuseppe",0
"Bogie, Mr. Norman Leslie",0
"Bolhuis, Mr. Hendrik",0
"Bond, Mr. William John",0
"Boothby, Mr. Walter Thomas",0
"Borebank, Mr. John James",0
"Bostandyeff, Mr. Guentcho",0
"Boston, Mr. William John",0
"Botsford, Mr. William Hull",0
"Bott, Mr. William Thomas",0
"Boughton, Mr. Bernard John",0
"Boulos, Master. Akar",0
"Boulos, Miss. Nourelain",0
"Boulos, Mrs. Sultana",0
"Bourke, Miss. Mary",0
"Bourke, Mr. John",0
"Bourke, Mrs. Catherine",0
"Bowen, Mr. David John 'Dai'",0
"Bowenur, Mr. Solomon",0
"Boyd, Mr. John",0
"Boyes, Mr. John Henry",0
"Bracken, Mr. James H.",0
"Bradley, Mr. Patrick Joseph",0
"Bradley, Mr. T.",0
"Bradshaw, Mr. John Albert Perkin",0
"Brady, Mr. John Bertram",0
"Braf, Miss. Elin Ester Maria",0
"Brailey, Mr. William Theodore Ronald",0
"Brandeis, Mr. Emil",0
"Braund, Mr. Lewis Richard",0
"Braund, Mr. Owen Harris",0
"Brewe, Dr. Arthur Jackson",0
"Brewer, Mr. Harry",0
"Brewster, Mr. George Henry",0
"Briant, Mr. Albert",0
"Bricoux, Mr. Roger Marie",0
"Bristow, Mr. Harry",0
"Bristow, Mr. Robert Charles",0
"Brito, Mr. José Joaquim de",0
"Brobeck, Mr. Karl Rudolf",0
"Brocklebank, Mr. William Alfred",0
"Brookman, Mr. John Cress",0
"Brooks, Mr. J.",0
"Broom, Mr. Herbert George",0
"Broome, Mr. Athol Frederick",0
"Brown, Mr. John",0
"Brown, Mr. Joseph James",0
"Brown, Mr. Thomas William Solomon",0
"Brown, Mr. Walter James",0
"Bryhl, Mr. Kurt Arnold Gottfrid",0
"Buckley, Miss. Katherine",0
"Buckley, Mr. H. E.",0
"Bull, Mr. W.",0
"Bulley, Mr. Henry Ashburnham",0
"Bunnell, Mr. Wilfred James",0
"Burke, Mr. Jeremiah",0
"Burke, Mr. Richard Edward",0
"Burns, Miss. Mary Delia",0
"Burr, Mr. Ewart Sydenham",0
"Burroughs, Mr. Arthur Peckham",0
"Burton, Mr. Edward John",0
"Butler, Mr. Reginald Fenton",0
"Butt, Major. Archibald Willingham",0
"Butt, Mr. Robert Henry",0
"Butt, Mr. William John",0
"Butterworth, Mr. John",0
"Byles, Fr. Thomas Roussel Davids",0
"Byrne, Mr. James Edward",0
"Cacic, Miss. Manda",0
"Cacic, Miss. Marija",0
"Cacic, Mr. Jego Grga",0
"Cacic, Mr. Luka",0
"Cairns, Mr. Alexander Milne",0
"Calderwood, Mr. Hugh",0
"Calic, Mr. Jovo",0
"Calic, Mr. Petar",0
"Campbell, Mr. Donald S.",0
"Campbell, Mr. William Henry",0
"Canavan, Miss. Mary",0
"Canavan, Mr. Patrick",0
"Cann, Mr. Ernest Charles",0
"Canner, Mr. John",0
"Caram, Mr. Joseph",0
"Caram, Mrs. Maria Elias",0
"Carbines, Mr. William",0
"Carlsson, Mr. August Sigfrid",0
"Carlsson, Mr. Carl Robert",0
"Carlsson, Mr. Frans Olof",0
"Carney, Mr. William",0
"Carr, Miss. Jane",0
"Carr, Mr. Richard Stephen",0
"Carrau, Mr. Francisco Mauro Severiano",0
"Carraú-esteves, Mr. José Pedro",0
"Carter (ball), Mr. James (W.)",0
"Carter, Fr. Ernest Courtenay",0
"Carter, Mrs. Lilian",0
"Cartwright, Mr. James Edward",0
"Carver, Mr. Alfred John",0
"Casali, Sig.. Giulio",0
"Case, Mr. Howard Brown",0
"Casey, Mr. Thomas",0
"Casswill, Mr. Charles",0
"Castleman, Mr. Edward",0
"Caunt, Mr. William Ewart",0
"Cave, Mr. Herbert",0
"Cavendish, Mr. Tyrell William",0
"Cecil, Mr. Charles Thomas",0
"Celotti, Mr. Francesco",0
"Chaboisson, Mr. Adrien Finnin",0
"Chaffee, Mr. Herbert Fuller",0
"Chapman, Mr. Charles Henry",0
"Chapman, Mr. John Henry",0
"Chapman, Mrs. Sara Elizabeth",0
"Charman, Mr. John James",0
"Charters, Mr. David",0
"Cherrett, Mr. William Victor",0
"Cheverton, Mr. William Frederick",0
"Chisholm, Mr. Roderick Robert Crispin",0
"Chisnall, Mr. George Alexander",0
"Chitty, Mr. Archibald George",0
"Chitty, Mr. George Henry",0
"Chorley, Mr. John Henry",0
"Christmann, Mr. Emil",0
"Christmas, Mr. Herbert Harry",0
"Chronopoulos, Mr. Apostolos M.",0
"Chronopoulos, Mr. Dimitrios M.",0
"Clark, Mr. Walter Miller",0
"Clarke, Mr. Charles Valentine",0
"Clarke, Mr. John Frederick Preston",0
"Clench, Mr. George James",0
"Clifford, Mr. George Quincy",0
"Coe, Mr. Harry",0
"Coelho, Mr. Domingos Fernandeo",0
"Colbert, Mr. Patrick",0
"Coleff, Mr. Satio",0
"Coleman, Mr. Albert Edward",0
"Coleman, Mr. John",0
"Coleridge, Mr. Reginald Charles",0
"Collander, Mr. Erik Gustaf",0
"Colley, Mr. Edward Pomeroy",0
"Collyer, Mr. Harvey",0
"Coltcheff, Mr. Peju",0
"Compton, Mr. Alexander Taylor jr",0
"Conlin, Mr. Thomas Henry",0
"Connaghton, Mr. Michael",0
"Connolly, Miss. Kate",0
"Connors, Mr. Patrick",0
"Conway, Mr. Percy Walter",0
"Cook, Mr. George",0
"Cook, Mr. Jacob",0
"Coombs, Mr. Charles Augustus",0
"Cooper, Mr. Harry",0
"Cooper, Mr. James Edward",0
"Copperthwaite, Mr. Albert Harry",0
"Cor, Mr. Bartol",0
"Cor, Mr. Ivan",0
"Cor, Mr. Liudevit",0
"Corben, Mr. Ernest Theodore",0
"Corbett, Mrs. Irene",0
"Corcoran, Mr. Denny",0
"Corey, Mrs. Mary Phyllis Elizabeth",0
"Corn, Mr. Harry",0
"Cornaire, Mr. Marcel Raymond André",0
"Cotterill, Mr. Henry ""Harry""",0
"Cotton, Mr. Alfred",0
"Couch, Mr. Frank",0
"Couch, Mr. Joseph Henry",0
"Coutin, Mr. Auguste Louis",0
"Cox, Mr. William Denton",0
"Coxon, Mr. Daniel",0
"Coy, Mr. Francis Ernest George",0
"Crabb, Mr. Henry James",0
"Crafton, Mr. John Bertram",0
"Crease, Mr. Ernest James",0
"Creese, Mr. Henry Philip",0
"Cribb, Mr. John Hatfield",0
"Crisp, Mr. Albert Hector",0
"Crispin, Mr. William",0
"Crosbie, Mr. John Borthwick",0
"Crosby, Captain. Edward Gifford",0
"Cross, Mr. William Alfred",0
"Crovella, Sig.. Luigi",0
"Crumplin, Mr. Charles George Chandler",0
"Culumovic, Mr. Jeso",0
"Cumings, Mr. John Bradley",0
"Cunningham, Mr. Alfred Fleming",0
"Cunningham, Mr. B.",0
"Curtis, Mr. Arthur",0
"Daher, Mr. Tannous",0
"Dahlberg, Miss. Gerda Ulrika",0
"Dakic, Mr. Branko",0
"Danbom, Master. Gilbert Sigvard Emanuel",0
"Danbom, Mr. Ernst Gilbert",0
"Danbom, Mrs. Anna Sigrid Maria",0
"Danoff, Mr. Yoto",0
"Dashwood, Mr. William George",0
"Davidson, Mr. Thornton",0
"Davies, Mr. Alfred J.",0
"Davies, Mr. Charles Henry",0
"Davies, Mr. Evan",0
"Davies, Mr. Gordon Raleigh",0
"Davies, Mr. John Samuel",0
"Davies, Mr. Joseph",0
"Davies, Mr. Robert J.",0
"Davies, Mr. Thomas",0
"Davis, Mr. John",0
"Davis, Mr. Stephen James",0
"Davison, Mr. Thomas Henry",0
"Dawson, Mr. Joseph",0
"De marsico, Sig.. Govanni",0
"De pelsmaeker, Mr. Alfons",0
"Deacon, Mr. Percy William",0
"Dean, Mr. Bertram Frank",0
"Dean, Mr. George H.",0
"Debreucq, Mr. Maurice Emile Victor",0
"Deeble, Mr. Alfred Arnold",0
"Del carlo, Mr. Sebastiano",0
"Delalic, Mr. Redjo",0
"Denbuoy, Mr. Albert (""Herbert"")",0
"Denkoff, Mr. Mitto",0
"Dennis, Mr. Samuel",0
"Dennis, Mr. William",0
"Derrett, Mr. Arthur Henry",0
"Deslandes, Mr. Percival Stainer",0
"Desvernine, Mr. Louis Gabriel",0
"Dibden, Mr. William",0
"Dickson, Mr. William",0
"Dika, Mr. Mirko",0
"Dimic, Mr. Jovan",0
"Dinenage, Mr. James Richard",0
"Dintcheff, Mr. Valtcho",0
"Dodd, Mr. Edward Charles",0
"Dodd, Mr. George Charles",0
"Dodds, Mr. Henry Watson",0
"Dolby, Mr. Joseph",0
"Donati, Sig.. Italo Francesco",0
"Donoghue, Mr. Frank (?Thomas)",0
"Donohoe, Miss. Bridget",0
"Dooley, Mr. Patrick",0
"Dornier, Mr. Louis Auguste",0
"Dougherty, Mr. William John",0
"Doughty, Mr. Walter Thomas",0
"Douglas, Mr. Walter Donald",0
"Douton, Mr. William Joseph",0
"Doyle, Miss. Elizabeth",0
"Doyle, Mr. Laurence",0
"Drazenovic, Mr. Jozef",0
"Drew, Mr. James Vivian",0
"Duffy, Mr. William Luke",0
"Dulles, Mr. William Crothers",0
"Dunford, Mr. William",0
"Durnil, Mr. James",0
"Dwan, Mr. Frank",0
"Dyer, Mr. Henry Ryland",0
"Dyer, Mr. William Henry",0
"Dyker, Mr. Adolf Fredrik",0
"Eagle, Mr. Alfred James",0
"Eastman, Mr. Charles",0
"Edbrooke, Mr. Francis Samuel Jacob",0
"Ede, Mr. George Bulkeley",0
"Edge, Mr. Frederick William",0
"Edvardsson, Mr. Gustaf Hjalmar",0
"Edwards, Mr. Charles Essex",0
"Egg, Mr. William Henry",0
"Eitemiller, Mr. George Floyd",0
"Eklund, Mr. Hans Linus",0
"Ekström, Mr. Johan",0
"Elias nasrallah, Mr. Tannous",0
"Elias, Mr. Dibo",0
"Elias, Mr. Joseph jr.",0
"Elliott, Mr. Everett Edward",0
"Elsbury, Mr. William James",0
"Enander, Mr. Ingvar",0
"Ennis, Mr. Walter",0
"Ervine, Mr. Albert George",0
"Estanislau, Mr. Manuel Gonçalves",0
"Evans, Miss. Edith Corse",0
"Evans, Mr. George Richard",0
"Evans, Mr. William Thomas",0
"Everett, Mr. Thomas James",0
"Fahlstrøm, Mr. Arne Joma",0
"Fairall, Mr. Henry Charles",0
"Farenden, Mr. Ernest John",0
"Farquharson, Mr. William Edward",0
"Farrell, Mr. James ""Jim""",0
"Farthing, Mr. John",0
"Faunthorpe, Mr. Harry Bartram",0
"Fay, Mr. Thomas Joseph",0
"Fellowes, Mr. Alfred James",0
"Feltham, Mr. George William",0
"Ferrary, Mr. Antonio",0
"Ferris, Mr. W.",0
"Fey, Sig.. Carlo",0
"Fillbrook, Mr. Joseph Charles",0
"Finch, Mr. Harry",0
"Fioravante, Sig.. Giuseppe Bertoldo",0
"Fischer, Mr. Eberhard Thelander",0
"Fitzpatrick, Mr. Hugh Joseph",0
"Fleming, Miss. Honora",0
"Fletcher, Mr. Percy William",0
"Flynn, Mr. James",0
"Flynn, Mr. John",0
"Foley, Mr. Joseph",0
"Foley, Mr. William",0
"Ford, Miss. Dollina Margaret",0
"Ford, Miss. Robina Maggie",0
"Ford, Mr. Arthur",0
"Ford, Mr. Edward Watson",0
"Ford, Mr. Ernest",0
"Ford, Mr. Francis",0
"Ford, Mr. H.",0
"Ford, Mr. Thomas",0
"Ford, Mr. William Neal Thomas",0
"Ford, Mrs. Margaret Ann Watson",0
"Foreman, Mr. Benjamin Laventall",0
"Fortune, Mr. Charles Alexander",0
"Fortune, Mr. Mark",0
"Foster, Mr. Albert C.",0
"Fox, Mr. Patrick",0
"Fox, Mr. Stanley Hubert",0
"Fox, Mr. William Thomas",0
"Franklin, Mr. Alan Vincent",0
"Franklin, Mr. Charles (""Charles Fardon"")",0
"Franklin, Mr. Thomas Parnham",0
"Fraser, Mr. J.",0
"Fraser, Mr. James",0
"Freeman, Mr. Ernest Edward Samuel",0
"Frost, Mr. Anthony Wood",0
"Fry, Mr. John Richard",0
"Funk, Miss. Annie Clemmer",0
"Futrelle, Mr. Jacques Heath",0
"Fynney, Mr. Joseph J.",0
"Gale, Mr. Harry",0
"Gale, Mr. Shadrach",0
"Gallagher, Mr. Martin",0
"Garfirth, Mr. John",0
"Gaskell, Mr. Alfred",0
"Gatti, Sig.. Gaspare Antonio Pietro",0
"Gavey, Mr. Laurence",0
"Geddes, Mr. Richard Charles",0
"Gee, Mr. Arthur H.",0
"Geer, Mr. Alfred Emest",0
"Gerios thamah, Mr. Assaf",0
"Gheorgheff, Mr. Stanio",0
"Giglio, Mr. Victor Gaitan Andrea",0
"Gilardino, Sig.. Vincenzo Pio",0
"Gilbert, Mr. William",0
"Giles, Mr. Edgar",0
"Giles, Mr. Frederick Edward",0
"Giles, Mr. John Robert",0
"Giles, Mr. Ralph",0
"Gilinski, Mr. Eliezer",0
"Gill, Mr. John William",0
"Gill, Mr. Joseph Stanley",0
"Gill, Mr. Patrick",0
"Gillespie, Mr. William Henry",0
"Givard, Mr. Hans Kristensen",0
"Godwin, Mr. Frederick Charles",0
"Golder, Mr. M. W.",0
"Goldschmidt, Mr. George B.",0
"Goldsmith, Mr. Frank John",0
"Goldsmith, Mr. Nathan",0
"Gollop, Mr. F.",0
"Goodwin, Master. Harold Victor",0
"Goodwin, Master. Sidney Leslie",0
"Goodwin, Master. William Frederick",0
"Goodwin, Miss. Jessie Allis",0
"Goodwin, Miss. Lillian Amy",0
"Goodwin, Mr. Charles Edward",0
"Goodwin, Mr. Frederick Joseph",0
"Goodwin, Mrs. Augusta",0
"Gordon, Mr. J.",0
"Goree, Mr. Frank",0
"Goshawk, Mr. Alfred James",0
"Gosling, Mr. Bertram James",0
"Gosling, Mr. S.",0
"Gradidge, Mr. Ernest Edward",0
"Graham, Mr. George Edward",0
"Green, Mr. George",0
"Green, Mr. George",0
"Greenberg, Mr. Samuel",0
"Gregory, Mr. David",0
"Grosclaude, Mr. Gérald",0
"Grønnestad, Mr. Daniel Danielsen",0
"Guest, Mr. Robert",0
"Guggenheim, Mr. Benjamin",0
"Gumery, Mr. George",0
"Gunn, Mr. Joseph Alfred",0
"Gustafsson, Mr. Alfred Ossian",0
"Gustafsson, Mr. Anders Vilhelm",0
"Gustafsson, Mr. Johan Birger",0
"Gustafsson, Mr. Karl Gideon",0
"Gwynn, Mr. William Logan",0
"Haas, Miss. Aloisia",0
"Hagland, Mr. Ingvald Olai Olsen",0
"Hagland, Mr. Konrad Mathias Reiersen",0
"Hakkarainen, Mr. Pekka Pietari",0
"Hale, Mr. Reginald",0
"Hall, Mr. F. A. J.",0
"Hall, Mr. J.",0
"Hallett, Mr. George Alexander",0
"Hamblyn, Mr. Ernest William",0
"Hamilton, Mr. Ernest",0
"Hampe, Mr. Léon Jérome",0
"Hands, Mr. Bernard",0
"Hanna, Mr. Boulos",0
"Hanna, Mr. Mansour",0
"Hannam, Mr. George",0
"Hansen, Mr. Claus Peter",0
"Hansen, Mr. Henrik Juul",0
"Hansen, Mr. Henry Damsgaard",0
"Harbeck, Mr. William H.",0
"Harding, Mr. Alfred John",0
"Hargadon, Miss. Catherine ""Kate""",0
"Harknett, Miss. Alice Phoebe",0
"Harper, Rev.. John",0
"Harrington, Mr. Charles Henry",0
